Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDP_M_R
1121,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
1122,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Water,Water
1123,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
1124,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest,Water
1125,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
1126,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1127,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1128,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1129,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
1130,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1131,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
1132,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
1133,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
1134,Forest,Forest,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Water
1135,Forest,Forest,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
1136,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
1137,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
1138,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
1139,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Water,Water
1140,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Water,Forest
1141,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Forest,Water
1142,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
1143,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
1144,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
1145,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
1146,Forest,Forest,Forest,Water,Non_Wetland,NULL,Wetland,Water
1147,Forest,Forest,Forest,Water,Non_Wetland,NULL,Wetland,Forest
1148,Forest,Forest,Forest,Water,Non_Wetland,NULL,Water,Water
1149,Forest,Forest,Forest,Water,Non_Wetland,NULL,Water,Forest
1150,Forest,Forest,Forest,Water,Non_Wetland,NULL,Forest,Water
1151,Forest,Forest,Forest,Water,Non_Wetland,NULL,Forest,Forest
1152,Forest,Forest,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
1153,Forest,Forest,Forest,Water,Non_Wetland,Grassland,Water,Forest
1154,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1155,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Water
1156,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1157,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Water,Water
1158,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Water,Forest
1159,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Forest,Forest
1160,Forest,Forest,Forest,Water,Non_Wetland,Bareland,Water,Water
1161,Forest,Forest,Forest,Water,Non_Wetland,Water,Wetland,Grassland
1162,Forest,Forest,Forest,Water,Non_Wetland,Water,Wetland,Water
1163,Forest,Forest,Forest,Water,Non_Wetland,Water,Wetland,Forest
1164,Forest,Forest,Forest,Water,Non_Wetland,Water,Water,Water
1165,Forest,Forest,Forest,Water,Non_Wetland,Water,Water,Forest
1166,Forest,Forest,Forest,Water,Non_Wetland,Water,Forest,Water
1167,Forest,Forest,Forest,Water,Non_Wetland,Water,Forest,Forest
1168,Forest,Forest,Forest,Water,Non_Wetland,Forest,Wetland,Water
1169,Forest,Forest,Forest,Water,Non_Wetland,Forest,Wetland,Forest
1170,Forest,Forest,Forest,Water,Non_Wetland,Forest,Water,Water
1171,Forest,Forest,Forest,Water,Non_Wetland,Forest,Water,Forest
1172,Forest,Forest,Forest,Water,Non_Wetland,Forest,Forest,Grassland
1173,Forest,Forest,Forest,Water,Non_Wetland,Forest,Forest,Water
1174,Forest,Forest,Forest,Water,Non_Wetland,Forest,Forest,Forest
