Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MTB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MTB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MTB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MTB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MTB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MTB_M_R
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
331,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
332,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
333,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
334,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
335,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
336,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
337,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
338,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
339,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
340,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
341,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
342,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
343,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
344,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
345,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
346,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
347,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
348,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
349,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
350,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
351,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
352,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
353,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
354,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
355,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
356,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
357,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
358,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
359,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
360,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
361,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
362,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
363,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
364,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
365,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
366,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
367,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
368,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
369,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
370,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
371,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
372,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
373,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
374,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
375,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
376,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
377,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
378,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
379,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Wetland
380,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
381,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
382,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
383,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
384,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
385,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
386,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Built-up
387,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
388,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
389,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
390,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
391,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
392,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
393,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
394,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
395,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
396,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
397,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
398,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
399,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
400,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
401,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
402,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
403,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
404,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
405,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
406,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
407,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
408,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
409,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
410,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
411,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
412,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
413,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
414,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
415,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
416,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
417,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
418,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
419,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
420,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
421,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
422,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
423,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
424,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Wetland
425,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
426,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
427,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
428,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
429,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
430,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
431,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Built-up
432,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
433,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
434,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
435,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
436,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
437,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
438,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
439,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
440,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
441,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
442,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Forest
443,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
444,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Cropland
445,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
446,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
447,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
448,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
449,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
450,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
451,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
452,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
453,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
454,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
455,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
456,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
457,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
458,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
459,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
460,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
461,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Water
462,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
463,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
464,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
465,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
466,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
467,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
468,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
469,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
470,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
471,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
472,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
473,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
474,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
475,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
476,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
477,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
478,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
479,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Wetland
480,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
481,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Water
482,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
483,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
484,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
485,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
486,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
487,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
488,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
489,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
490,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
491,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
492,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
493,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
494,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
495,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
496,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
497,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
498,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
499,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
500,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Forest
501,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
502,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
503,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
504,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
505,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
506,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
507,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
508,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
509,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
510,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
511,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
512,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
513,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
514,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
515,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
516,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
517,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Wetland
518,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Water
519,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
520,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
521,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
522,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
523,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
524,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Bareland
525,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
526,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
527,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
528,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
529,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
530,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
531,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
532,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,NULL
533,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
534,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Bareland
535,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
536,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Grassland
537,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
538,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
539,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
540,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
541,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
542,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
543,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
544,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
545,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
546,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
547,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Forest
548,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
549,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
550,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Wetland
551,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Bareland
552,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
553,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
554,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
555,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
556,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
557,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
558,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
559,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
560,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
561,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
562,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
563,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
564,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Built-up
565,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
566,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
567,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Wetland
568,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Built-up
569,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
570,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
571,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Wetland
572,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Bareland
573,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
574,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
575,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
576,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
577,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
578,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Built-up
579,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
580,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
581,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
582,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
583,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
584,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,NULL
585,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
586,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
587,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
588,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Built-up
589,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
590,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
591,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
592,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
593,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
594,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
595,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,NULL
596,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
597,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Wetland
598,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
599,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
600,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
601,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
602,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
603,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
604,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
605,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
606,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
607,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
608,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Wetland
609,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
610,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,NULL
611,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
612,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Bareland
613,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
614,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Bareland,Grassland
615,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Bareland,Bareland
616,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
617,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
618,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Shrubland,Grassland
619,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Shrubland,Forest
620,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
621,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Wetland
622,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,Grassland
623,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,Wetland
624,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
625,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,NULL
626,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,Grassland
627,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,NULL
628,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
629,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Grassland
630,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Grassland,Bareland
631,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Bareland,Grassland
632,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Bareland,Wetland
633,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,NULL
634,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Grassland
635,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Wetland
636,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Bareland
637,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Forest,Grassland
638,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,NULL
639,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
640,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Forest
641,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Grassland
642,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
643,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
644,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Wetland
645,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Bareland
646,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,NULL
647,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
648,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
