Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KVD_M_R
5487,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
5488,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
5489,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,NULL
5490,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,NULL
5491,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,NULL
5492,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,NULL
5493,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,NULL
5494,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,NULL
5495,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,NULL
5496,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,NULL
5497,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,NULL
5498,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,NULL
5499,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,NULL
5500,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
5501,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,NULL
5502,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,NULL
5503,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,Water,NULL
5504,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,NULL
5505,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,NULL
5506,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,NULL
5507,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,NULL
5508,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,NULL
5509,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,NULL
5510,Forest,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,NULL
5511,Forest,NULL,Shrubland,Water,Non_Wetland,Water,NULL,NULL
5512,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,NULL
5513,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,NULL
5514,Forest,NULL,Shrubland,Water,Non_Wetland,Water,Water,NULL
5515,Forest,NULL,Shrubland,Water,Non_Wetland,Forest,NULL,NULL
5516,Forest,NULL,Shrubland,Water,Non_Wetland,Forest,Wetland,NULL
5517,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
5518,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
5519,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
5520,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,NULL
5521,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Water,NULL
5522,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
5523,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
5524,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
5525,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
5526,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
5527,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
5528,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,NULL
5529,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
5530,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
5531,Forest,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
5532,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
5533,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
5534,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
5535,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
5536,Forest,NULL,Grassland,NULL,Non_Wetland,Water,NULL,NULL
5537,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,NULL
5538,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
5539,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
5540,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
5541,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,NULL
5542,Forest,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
5543,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
5544,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,NULL
5545,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,NULL
5546,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland,NULL
5547,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest,NULL
5548,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,NULL
5549,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
5550,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
5551,Forest,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,NULL
5552,Forest,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
5553,Forest,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,NULL
5554,Forest,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,NULL
5555,Forest,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,NULL
5556,Forest,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,NULL
5557,Forest,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,NULL
5558,Forest,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,NULL
5559,Forest,NULL,Grassland,Non_Water,Non_Wetland,Forest,NULL,NULL
5560,Forest,NULL,Grassland,Non_Water,Non_Wetland,Forest,Grassland,NULL
5561,Forest,NULL,Grassland,Non_Water,Non_Wetland,Forest,Wetland,NULL
5562,Forest,NULL,Grassland,Non_Water,Non_Wetland,Forest,Forest,NULL
5563,Forest,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
5564,Forest,NULL,Grassland,Water,Non_Wetland,NULL,Grassland,NULL
5565,Forest,NULL,Grassland,Water,Non_Wetland,NULL,Wetland,NULL
5566,Forest,NULL,Grassland,Water,Non_Wetland,NULL,Water,NULL
5567,Forest,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,NULL
5568,Forest,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,NULL
5569,Forest,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,NULL
5570,Forest,NULL,Grassland,Water,Non_Wetland,Grassland,Forest,NULL
5571,Forest,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,NULL
5572,Forest,NULL,Grassland,Water,Non_Wetland,Water,NULL,NULL
5573,Forest,NULL,Grassland,Water,Non_Wetland,Water,Grassland,NULL
5574,Forest,NULL,Grassland,Water,Non_Wetland,Water,Wetland,NULL
5575,Forest,NULL,Grassland,Water,Non_Wetland,Forest,Wetland,NULL
5576,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
5577,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
5578,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
5579,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
5580,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,NULL
5581,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Water,NULL
5582,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
5583,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
5584,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
5585,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
5586,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
5587,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,NULL
5588,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,NULL
5589,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
5590,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
5591,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,NULL
5592,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,NULL
5593,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
5594,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,NULL
5595,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
5596,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
5597,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,NULL
5598,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
5599,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,NULL
5600,Forest,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
5601,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,NULL
5602,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,NULL
5603,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
5604,Forest,NULL,Cropland,NULL,Non_Wetland,Water,NULL,NULL
5605,Forest,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,NULL
5606,Forest,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,NULL
5607,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,NULL
5608,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
5609,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,Wetland,NULL
5610,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,Bareland,NULL
5611,Forest,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,NULL
5612,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
5613,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,NULL
5614,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,NULL
5615,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,NULL
5616,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,Built-up,NULL
5617,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,NULL
5618,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest,NULL
5619,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,NULL
5620,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
5621,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
5622,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,NULL
5623,Forest,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,NULL
5624,Forest,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,NULL
5625,Forest,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
5626,Forest,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,NULL
5627,Forest,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,NULL
5628,Forest,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,NULL
5629,Forest,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
5630,Forest,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Grassland,NULL
5631,Forest,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,NULL
5632,Forest,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,NULL
5633,Forest,NULL,Cropland,Non_Water,Non_Wetland,Forest,NULL,NULL
5634,Forest,NULL,Cropland,Non_Water,Non_Wetland,Forest,Grassland,NULL
5635,Forest,NULL,Cropland,Non_Water,Non_Wetland,Forest,Wetland,NULL
5636,Forest,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
5637,Forest,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,NULL
5638,Forest,NULL,Cropland,Water,Non_Wetland,NULL,Wetland,NULL
5639,Forest,NULL,Cropland,Water,Non_Wetland,NULL,Bareland,NULL
5640,Forest,NULL,Cropland,Water,Non_Wetland,NULL,Forest,NULL
5641,Forest,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,NULL
5642,Forest,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,NULL
5643,Forest,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,NULL
5644,Forest,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,NULL
5645,Forest,NULL,Cropland,Water,Non_Wetland,Bareland,NULL,NULL
5646,Forest,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,NULL
5647,Forest,NULL,Cropland,Water,Non_Wetland,Water,Wetland,NULL
5648,Forest,NULL,Cropland,Water,Non_Wetland,Forest,NULL,NULL
5649,Forest,NULL,Cropland,Water,Non_Wetland,Forest,Wetland,NULL
5650,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
5651,Forest,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
5652,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
5653,Forest,NULL,Wetland,NULL,Wetland,NULL,Bareland,NULL
5654,Forest,NULL,Wetland,NULL,Wetland,NULL,Water,NULL
5655,Forest,NULL,Wetland,NULL,Wetland,NULL,Forest,NULL
5656,Forest,NULL,Wetland,NULL,Wetland,Grassland,NULL,NULL
5657,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
5658,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
5659,Forest,NULL,Wetland,NULL,Wetland,Wetland,NULL,NULL
5660,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
5661,Forest,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
5662,Forest,NULL,Wetland,NULL,Wetland,Wetland,Bareland,NULL
5663,Forest,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
5664,Forest,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
5665,Forest,NULL,Wetland,NULL,Wetland,Bareland,NULL,NULL
5666,Forest,NULL,Wetland,NULL,Wetland,Bareland,Grassland,NULL
5667,Forest,NULL,Wetland,NULL,Wetland,Bareland,Bareland,NULL
5668,Forest,NULL,Wetland,NULL,Wetland,Water,NULL,NULL
5669,Forest,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
5670,Forest,NULL,Wetland,NULL,Wetland,Forest,NULL,NULL
5671,Forest,NULL,Wetland,NULL,Wetland,Forest,Grassland,NULL
5672,Forest,NULL,Wetland,NULL,Wetland,Forest,Wetland,NULL
5673,Forest,NULL,Wetland,NULL,Wetland,Forest,Water,NULL
5674,Forest,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
5675,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
5676,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Grassland,NULL
5677,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,NULL
5678,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Bareland,NULL
5679,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Water,NULL
5680,Forest,NULL,Wetland,Non_Water,Wetland,NULL,Forest,NULL
5681,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,NULL
5682,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,NULL
5683,Forest,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,NULL
5684,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,NULL
5685,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,NULL
5686,Forest,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
5687,Forest,NULL,Wetland,Non_Water,Wetland,Bareland,NULL,NULL
5688,Forest,NULL,Wetland,Non_Water,Wetland,Water,NULL,NULL
5689,Forest,NULL,Wetland,Non_Water,Wetland,Water,Wetland,NULL
5690,Forest,NULL,Wetland,Non_Water,Wetland,Water,Water,NULL
5691,Forest,NULL,Wetland,Non_Water,Wetland,Forest,NULL,NULL
5692,Forest,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,NULL
5693,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
5694,Forest,NULL,Wetland,Water,Wetland,NULL,Grassland,NULL
5695,Forest,NULL,Wetland,Water,Wetland,NULL,Wetland,NULL
5696,Forest,NULL,Wetland,Water,Wetland,NULL,Water,NULL
5697,Forest,NULL,Wetland,Water,Wetland,Grassland,NULL,NULL
5698,Forest,NULL,Wetland,Water,Wetland,Wetland,NULL,NULL
5699,Forest,NULL,Wetland,Water,Wetland,Wetland,Grassland,NULL
5700,Forest,NULL,Wetland,Water,Wetland,Wetland,Wetland,NULL
5701,Forest,NULL,Wetland,Water,Wetland,Water,NULL,NULL
5702,Forest,NULL,Wetland,Water,Wetland,Water,Wetland,NULL
5703,Forest,NULL,Wetland,Water,Wetland,Water,Water,NULL
5704,Forest,NULL,Wetland,Water,Wetland,Forest,Wetland,NULL
5705,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,Wetland,NULL
5706,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
5707,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland,NULL
5708,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,NULL
5709,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,Forest,NULL
5710,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,NULL
5711,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
5712,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
5713,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,NULL,NULL
5714,Forest,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
5715,Forest,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,NULL
5716,Forest,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
5717,Forest,NULL,Bareland,NULL,Non_Wetland,Forest,NULL,NULL
5718,Forest,NULL,Bareland,NULL,Non_Wetland,Forest,Wetland,NULL
5719,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
5720,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland,NULL
5721,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland,NULL
5722,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL,Forest,NULL
5723,Forest,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
5724,Forest,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
5725,Forest,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
5726,Forest,NULL,Bareland,Non_Water,Non_Wetland,Bareland,NULL,NULL
5727,Forest,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,NULL
5728,Forest,NULL,Bareland,Non_Water,Non_Wetland,Forest,Wetland,NULL
5729,Forest,NULL,Bareland,Water,Non_Wetland,NULL,Wetland,NULL
5730,Forest,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,NULL
5731,Forest,NULL,Bareland,Water,Non_Wetland,Water,Wetland,NULL
5732,Forest,NULL,Bareland,Water,Non_Wetland,Water,Water,NULL
5733,Forest,NULL,Bareland,Water,Non_Wetland,Forest,Wetland,NULL
5734,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
5735,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
5736,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland,NULL
5737,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
5738,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up,NULL
5739,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
5740,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
5741,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,NULL
5742,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
5743,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
5744,Forest,NULL,Built-up,NULL,Non_Wetland,Wetland,NULL,NULL
5745,Forest,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
5746,Forest,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,NULL
5747,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
5748,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
5749,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,NULL
5750,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
5751,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
5752,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up,NULL,NULL
5753,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
5754,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,NULL
5755,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
5756,Forest,NULL,Built-up,NULL,Non_Wetland,Forest,NULL,NULL
5757,Forest,NULL,Built-up,NULL,Non_Wetland,Forest,Grassland,NULL
5758,Forest,NULL,Built-up,NULL,Non_Wetland,Forest,Wetland,NULL
5759,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
5760,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland,NULL
5761,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL,Wetland,NULL
5762,Forest,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland,NULL
5763,Forest,NULL,Built-up,Non_Water,Non_Wetland,Grassland,NULL,NULL
5764,Forest,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,NULL
5765,Forest,NULL,Built-up,Non_Water,Non_Wetland,Wetland,NULL,NULL
5766,Forest,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,NULL
5767,Forest,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,NULL
5768,Forest,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,NULL
5769,Forest,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,NULL
5770,Forest,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,NULL
5771,Forest,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Grassland,NULL
5772,Forest,NULL,Built-up,Water,Non_Wetland,NULL,NULL,NULL
5773,Forest,NULL,Built-up,Water,Non_Wetland,NULL,Bareland,NULL
5774,Forest,NULL,Built-up,Water,Non_Wetland,Grassland,NULL,NULL
5775,Forest,NULL,Built-up,Water,Non_Wetland,Bareland,NULL,NULL
5776,Forest,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,NULL
5777,Forest,NULL,Water,NULL,Water,NULL,NULL,NULL
5778,Forest,NULL,Water,NULL,Water,NULL,Wetland,NULL
5779,Forest,NULL,Water,NULL,Water,Water,Wetland,NULL
5780,Forest,NULL,Water,Non_Water,Water,NULL,NULL,NULL
5781,Forest,NULL,Water,Non_Water,Water,NULL,Wetland,NULL
5782,Forest,NULL,Water,Non_Water,Water,Grassland,Wetland,NULL
5783,Forest,NULL,Water,Non_Water,Water,Wetland,Wetland,NULL
5784,Forest,NULL,Water,Non_Water,Water,Water,NULL,NULL
5785,Forest,NULL,Water,Non_Water,Water,Water,Wetland,NULL
5786,Forest,NULL,Water,Non_Water,Water,Water,Water,NULL
5787,Forest,NULL,Water,Non_Water,Water,Forest,Wetland,NULL
5788,Forest,NULL,Water,Water,Water,NULL,NULL,NULL
5789,Forest,NULL,Water,Water,Water,NULL,Wetland,NULL
5790,Forest,NULL,Water,Water,Water,NULL,Water,NULL
5791,Forest,NULL,Water,Water,Water,Wetland,Wetland,NULL
5792,Forest,NULL,Water,Water,Water,Water,NULL,NULL
5793,Forest,NULL,Water,Water,Water,Water,Wetland,NULL
5794,Forest,NULL,Water,Water,Water,Water,Water,NULL
5795,Forest,NULL,Water,Water,Water,Forest,Wetland,NULL
5796,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
5797,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
5798,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
5799,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
5800,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Built-up,NULL
5801,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Water,NULL
5802,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
5803,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
5804,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
5805,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
5806,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,NULL
5807,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
5808,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
5809,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
5810,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
5811,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,NULL
5812,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
5813,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
5814,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
5815,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
5816,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,NULL
5817,Forest,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
5818,Forest,NULL,Forest,NULL,Non_Wetland,Water,NULL,NULL
5819,Forest,NULL,Forest,NULL,Non_Wetland,Water,Grassland,NULL
5820,Forest,NULL,Forest,NULL,Non_Wetland,Water,Wetland,NULL
5821,Forest,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
5822,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
5823,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
5824,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Water,NULL
