Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHP_M_R
1125,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1126,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1127,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1128,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Water
1129,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1130,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1131,Forest,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1132,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
1133,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1134,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1135,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
1136,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
1137,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
1138,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Water
1139,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Water,Forest
1140,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
1141,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Water
1142,Forest,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1143,Forest,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1144,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Water
1145,Forest,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
1146,Forest,Forest,Forest,NULL,Non_Wetland,Water,Water,Water
1147,Forest,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
1148,Forest,Forest,Forest,NULL,Non_Wetland,Water,Forest,Water
1149,Forest,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
1150,Forest,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
1151,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1152,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1153,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
1154,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Water
1155,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1156,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Water,Water
1157,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Water,Forest
1158,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1159,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Water
1160,Forest,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1161,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Water
1162,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
1163,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
1164,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
1165,Forest,Forest,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1166,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
1167,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1168,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
1169,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
1170,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Forest,Water
1171,Forest,Forest,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
1172,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
1173,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
1174,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Water,Water
1175,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Water,Forest
1176,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Forest,Water
1177,Forest,Forest,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
1178,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Wetland,Water
1179,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
1180,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
1181,Forest,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
1182,Forest,Forest,Forest,Water,Non_Wetland,NULL,Wetland,Water
1183,Forest,Forest,Forest,Water,Non_Wetland,NULL,Wetland,Forest
1184,Forest,Forest,Forest,Water,Non_Wetland,NULL,Water,Water
1185,Forest,Forest,Forest,Water,Non_Wetland,NULL,Water,Forest
1186,Forest,Forest,Forest,Water,Non_Wetland,NULL,Forest,Forest
1187,Forest,Forest,Forest,Water,Non_Wetland,Grassland,Water,Grassland
1188,Forest,Forest,Forest,Water,Non_Wetland,Grassland,Water,Forest
1189,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
1190,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Water
1191,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
1192,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Water,Grassland
1193,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Water,Water
1194,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Water,Forest
1195,Forest,Forest,Forest,Water,Non_Wetland,Wetland,Forest,Forest
1196,Forest,Forest,Forest,Water,Non_Wetland,Water,Wetland,Water
1197,Forest,Forest,Forest,Water,Non_Wetland,Water,Wetland,Forest
1198,Forest,Forest,Forest,Water,Non_Wetland,Water,Water,Water
1199,Forest,Forest,Forest,Water,Non_Wetland,Water,Water,Forest
1200,Forest,Forest,Forest,Water,Non_Wetland,Water,Forest,Water
1201,Forest,Forest,Forest,Water,Non_Wetland,Water,Forest,Forest
1202,Forest,Forest,Forest,Water,Non_Wetland,Forest,Wetland,Water
1203,Forest,Forest,Forest,Water,Non_Wetland,Forest,Wetland,Forest
1204,Forest,Forest,Forest,Water,Non_Wetland,Forest,Water,Water
1205,Forest,Forest,Forest,Water,Non_Wetland,Forest,Water,Forest
1206,Forest,Forest,Forest,Water,Non_Wetland,Forest,Forest,Water
1207,Forest,Forest,Forest,Water,Non_Wetland,Forest,Forest,Forest
