Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MEQ_M_R
1144,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
1145,Forest,Forest,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
1146,Forest,Forest,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
1147,Forest,Forest,NULL,Water,Non_Wetland,NULL,Wetland,Water
1148,Forest,Forest,NULL,Water,Non_Wetland,NULL,Wetland,Forest
1149,Forest,Forest,NULL,Water,Non_Wetland,NULL,Water,Grassland
1150,Forest,Forest,NULL,Water,Non_Wetland,NULL,Water,Water
1151,Forest,Forest,NULL,Water,Non_Wetland,NULL,Water,Forest
1152,Forest,Forest,NULL,Water,Non_Wetland,NULL,Forest,Forest
1153,Forest,Forest,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
1154,Forest,Forest,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
1155,Forest,Forest,NULL,Water,Non_Wetland,Grassland,Water,Grassland
1156,Forest,Forest,NULL,Water,Non_Wetland,Grassland,Water,Forest
1157,Forest,Forest,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
1158,Forest,Forest,NULL,Water,Non_Wetland,Wetland,Forest,Forest
1159,Forest,Forest,NULL,Water,Non_Wetland,Bareland,Water,Water
1160,Forest,Forest,NULL,Water,Non_Wetland,Water,Wetland,Grassland
1161,Forest,Forest,NULL,Water,Non_Wetland,Water,Wetland,Water
1162,Forest,Forest,NULL,Water,Non_Wetland,Water,Wetland,Forest
1163,Forest,Forest,NULL,Water,Non_Wetland,Water,Water,Grassland
1164,Forest,Forest,NULL,Water,Non_Wetland,Water,Water,Water
1165,Forest,Forest,NULL,Water,Non_Wetland,Water,Water,Forest
1166,Forest,Forest,NULL,Water,Non_Wetland,Forest,Wetland,Water
1167,Forest,Forest,NULL,Water,Non_Wetland,Forest,Wetland,Forest
1168,Forest,Forest,NULL,Water,Non_Wetland,Forest,Water,Forest
1169,Forest,Forest,NULL,Water,Non_Wetland,Forest,Forest,Forest
1170,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
1171,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
1172,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
1173,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1174,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1175,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
1176,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
1177,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
1178,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
1179,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
1180,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
1181,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
1182,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Water,Water
1183,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Water,Forest
1184,Forest,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
1185,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
1186,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
1187,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1188,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
1189,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
1190,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Forest
1191,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1192,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1193,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
1194,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Water
1195,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
1196,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
1197,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1198,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
1199,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
1200,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
1201,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
1202,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
1203,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest,Wetland,Forest
1204,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest,Water,Forest
1205,Forest,Forest,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Forest
1206,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,Wetland,Forest
1207,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,Water,Forest
1208,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
1209,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
1210,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
1211,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
1212,Forest,Forest,Shrubland,Water,Non_Wetland,Grassland,Forest,Forest
1213,Forest,Forest,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
1214,Forest,Forest,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
1215,Forest,Forest,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
1216,Forest,Forest,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
1217,Forest,Forest,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
1218,Forest,Forest,Shrubland,Water,Non_Wetland,Water,Water,Grassland
1219,Forest,Forest,Shrubland,Water,Non_Wetland,Water,Water,Water
1220,Forest,Forest,Shrubland,Water,Non_Wetland,Water,Water,Forest
1221,Forest,Forest,Shrubland,Water,Non_Wetland,Water,Forest,Forest
1222,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Water
1223,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
1224,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
1225,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Water,Water
1226,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Water,Forest
1227,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Water
1228,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
1229,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1230,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1231,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
1232,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1233,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
1234,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
1235,Forest,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
1236,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
1237,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
1238,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Water
1239,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
1240,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Bareland,Grassland
1241,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Bareland,Forest
1242,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Water,Water
1243,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Water,Forest
1244,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
1245,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Water
1246,Forest,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Forest
1247,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
1248,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Water,Forest
1249,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Water
1250,Forest,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1251,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1252,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Water
1253,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
1254,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Water,Grassland
1255,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Water,Water
1256,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Water,Forest
1257,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Forest,Water
1258,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,Forest,Forest
1259,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1260,Forest,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
1261,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
1262,Forest,Forest,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
1263,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
1264,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
1265,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
1266,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Water,Water
1267,Forest,Forest,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
1268,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,Wetland,Water
1269,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,Wetland,Forest
1270,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,Water,Water
1271,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,Water,Forest
1272,Forest,Forest,Grassland,Non_Water,Non_Wetland,Forest,Forest,Forest
1273,Forest,Forest,Grassland,Water,Non_Wetland,NULL,Wetland,Grassland
1274,Forest,Forest,Grassland,Water,Non_Wetland,NULL,Wetland,Water
1275,Forest,Forest,Grassland,Water,Non_Wetland,NULL,Wetland,Forest
1276,Forest,Forest,Grassland,Water,Non_Wetland,NULL,Water,Grassland
1277,Forest,Forest,Grassland,Water,Non_Wetland,NULL,Water,Forest
1278,Forest,Forest,Grassland,Water,Non_Wetland,NULL,Forest,Forest
1279,Forest,Forest,Grassland,Water,Non_Wetland,Grassland,Wetland,Forest
1280,Forest,Forest,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
1281,Forest,Forest,Grassland,Water,Non_Wetland,Grassland,Water,Forest
1282,Forest,Forest,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
1283,Forest,Forest,Grassland,Water,Non_Wetland,Bareland,Water,Water
1284,Forest,Forest,Grassland,Water,Non_Wetland,Water,Wetland,Water
1285,Forest,Forest,Grassland,Water,Non_Wetland,Water,Wetland,Forest
1286,Forest,Forest,Grassland,Water,Non_Wetland,Water,Water,Water
1287,Forest,Forest,Grassland,Water,Non_Wetland,Water,Water,Forest
1288,Forest,Forest,Grassland,Water,Non_Wetland,Forest,Wetland,Forest
1289,Forest,Forest,Grassland,Water,Non_Wetland,Forest,Water,Forest
1290,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
1291,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
1292,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Water,Forest
1293,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
1294,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1295,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1296,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
1297,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1298,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
1299,Forest,Forest,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
1300,Forest,Forest,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
1301,Forest,Forest,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
1302,Forest,Forest,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
1303,Forest,Forest,Cropland,NULL,Non_Wetland,Water,Bareland,Forest
1304,Forest,Forest,Cropland,NULL,Non_Wetland,Water,Forest,Forest
1305,Forest,Forest,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
1306,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1307,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Forest
1308,Forest,Forest,Cropland,Non_Water,Non_Wetland,NULL,Water,Forest
1309,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
1310,Forest,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Water,Forest
1311,Forest,Forest,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1312,Forest,Forest,Cropland,Non_Water,Non_Wetland,Wetland,Water,Water
1313,Forest,Forest,Cropland,Non_Water,Non_Wetland,Wetland,Water,Forest
1314,Forest,Forest,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
1315,Forest,Forest,Cropland,Non_Water,Non_Wetland,Forest,Wetland,Forest
1316,Forest,Forest,Wetland,NULL,Wetland,NULL,Grassland,Forest
1317,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,NULL
1318,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,Grassland
1319,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,Water
1320,Forest,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
1321,Forest,Forest,Wetland,NULL,Wetland,NULL,Water,Grassland
1322,Forest,Forest,Wetland,NULL,Wetland,NULL,Water,Water
1323,Forest,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
1324,Forest,Forest,Wetland,NULL,Wetland,NULL,Forest,Water
1325,Forest,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
1326,Forest,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
1327,Forest,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Water
1328,Forest,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
1329,Forest,Forest,Wetland,NULL,Wetland,Grassland,Water,Water
1330,Forest,Forest,Wetland,NULL,Wetland,Grassland,Water,Forest
1331,Forest,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
1332,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
1333,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Water
1334,Forest,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
1335,Forest,Forest,Wetland,NULL,Wetland,Wetland,Water,Grassland
1336,Forest,Forest,Wetland,NULL,Wetland,Wetland,Water,Water
1337,Forest,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
1338,Forest,Forest,Wetland,NULL,Wetland,Wetland,Forest,Water
1339,Forest,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
1340,Forest,Forest,Wetland,NULL,Wetland,Bareland,Wetland,Forest
1341,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
1342,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Water
1343,Forest,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
1344,Forest,Forest,Wetland,NULL,Wetland,Water,Water,Grassland
1345,Forest,Forest,Wetland,NULL,Wetland,Water,Water,Water
1346,Forest,Forest,Wetland,NULL,Wetland,Water,Water,Forest
1347,Forest,Forest,Wetland,NULL,Wetland,Water,Forest,Water
1348,Forest,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
1349,Forest,Forest,Wetland,NULL,Wetland,Forest,Wetland,Water
1350,Forest,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
1351,Forest,Forest,Wetland,NULL,Wetland,Forest,Water,Water
1352,Forest,Forest,Wetland,NULL,Wetland,Forest,Water,Forest
1353,Forest,Forest,Wetland,NULL,Wetland,Forest,Forest,Water
1354,Forest,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
1355,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
1356,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Grassland,Forest
1357,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
1358,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Water
1359,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
1360,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Water,Grassland
1361,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Water,Water
1362,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Water,Forest
1363,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Forest,Grassland
1364,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Forest,Water
1365,Forest,Forest,Wetland,Non_Water,Wetland,NULL,Forest,Forest
1366,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
1367,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
1368,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1369,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
1370,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Water
1371,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Water,Forest
1372,Forest,Forest,Wetland,Non_Water,Wetland,Grassland,Forest,Forest
1373,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
1374,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
1375,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
1376,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
1377,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
1378,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Water
1379,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Water,Forest
1380,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Forest,Water
1381,Forest,Forest,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
1382,Forest,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
1383,Forest,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
1384,Forest,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Water
1385,Forest,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Forest
1386,Forest,Forest,Wetland,Non_Water,Wetland,Water,Water,Grassland
1387,Forest,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
1388,Forest,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
1389,Forest,Forest,Wetland,Non_Water,Wetland,Water,Forest,Water
1390,Forest,Forest,Wetland,Non_Water,Wetland,Water,Forest,Forest
1391,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Water
1392,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
1393,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Water,Water
1394,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Water,Forest
1395,Forest,Forest,Wetland,Non_Water,Wetland,Forest,Forest,Forest
1396,Forest,Forest,Wetland,Water,Wetland,NULL,Wetland,Grassland
1397,Forest,Forest,Wetland,Water,Wetland,NULL,Wetland,Water
1398,Forest,Forest,Wetland,Water,Wetland,NULL,Wetland,Forest
1399,Forest,Forest,Wetland,Water,Wetland,NULL,Water,Grassland
1400,Forest,Forest,Wetland,Water,Wetland,NULL,Water,Water
1401,Forest,Forest,Wetland,Water,Wetland,NULL,Water,Forest
1402,Forest,Forest,Wetland,Water,Wetland,NULL,Forest,Water
1403,Forest,Forest,Wetland,Water,Wetland,NULL,Forest,Forest
1404,Forest,Forest,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1405,Forest,Forest,Wetland,Water,Wetland,Grassland,Wetland,Water
1406,Forest,Forest,Wetland,Water,Wetland,Grassland,Wetland,Forest
1407,Forest,Forest,Wetland,Water,Wetland,Grassland,Water,Grassland
1408,Forest,Forest,Wetland,Water,Wetland,Grassland,Water,Water
1409,Forest,Forest,Wetland,Water,Wetland,Grassland,Water,Forest
1410,Forest,Forest,Wetland,Water,Wetland,Grassland,Forest,Water
1411,Forest,Forest,Wetland,Water,Wetland,Grassland,Forest,Forest
1412,Forest,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
1413,Forest,Forest,Wetland,Water,Wetland,Wetland,Wetland,Water
1414,Forest,Forest,Wetland,Water,Wetland,Wetland,Wetland,Forest
1415,Forest,Forest,Wetland,Water,Wetland,Wetland,Water,Grassland
1416,Forest,Forest,Wetland,Water,Wetland,Wetland,Water,Wetland
1417,Forest,Forest,Wetland,Water,Wetland,Wetland,Water,Water
1418,Forest,Forest,Wetland,Water,Wetland,Wetland,Water,Forest
1419,Forest,Forest,Wetland,Water,Wetland,Wetland,Forest,Grassland
1420,Forest,Forest,Wetland,Water,Wetland,Wetland,Forest,Water
1421,Forest,Forest,Wetland,Water,Wetland,Wetland,Forest,Forest
1422,Forest,Forest,Wetland,Water,Wetland,Bareland,Water,Water
1423,Forest,Forest,Wetland,Water,Wetland,Bareland,Water,Forest
1424,Forest,Forest,Wetland,Water,Wetland,Water,Wetland,Grassland
1425,Forest,Forest,Wetland,Water,Wetland,Water,Wetland,Water
1426,Forest,Forest,Wetland,Water,Wetland,Water,Wetland,Forest
1427,Forest,Forest,Wetland,Water,Wetland,Water,Water,Grassland
1428,Forest,Forest,Wetland,Water,Wetland,Water,Water,Wetland
1429,Forest,Forest,Wetland,Water,Wetland,Water,Water,Water
1430,Forest,Forest,Wetland,Water,Wetland,Water,Water,Forest
1431,Forest,Forest,Wetland,Water,Wetland,Water,Forest,Grassland
1432,Forest,Forest,Wetland,Water,Wetland,Water,Forest,Forest
1433,Forest,Forest,Wetland,Water,Wetland,Forest,Wetland,Grassland
1434,Forest,Forest,Wetland,Water,Wetland,Forest,Wetland,Water
1435,Forest,Forest,Wetland,Water,Wetland,Forest,Wetland,Forest
1436,Forest,Forest,Wetland,Water,Wetland,Forest,Water,Water
1437,Forest,Forest,Wetland,Water,Wetland,Forest,Water,Forest
1438,Forest,Forest,Wetland,Water,Wetland,Forest,Forest,Grassland
1439,Forest,Forest,Wetland,Water,Wetland,Forest,Forest,Water
1440,Forest,Forest,Wetland,Water,Wetland,Forest,Forest,Forest
1441,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,Wetland,Forest
1442,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,Water,Forest
1443,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,Forest,Forest
1444,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Water,Wetland,Forest
1445,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Water,Forest,Forest
1446,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest,Wetland,Forest
1447,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest,Forest,Forest
1448,Forest,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,Wetland,Forest
1449,Forest,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Wetland,Wetland,Forest
1450,Forest,Forest,Lichens_and_Mosses,Water,Non_Wetland,NULL,Forest,Forest
1451,Forest,Forest,Lichens_and_Mosses,Water,Non_Wetland,Water,Wetland,Water
1452,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,Grassland
1453,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
1454,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
1455,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Bareland,Forest
1456,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Water,Water
1457,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Water,Forest
1458,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Forest,Water
1459,Forest,Forest,Bareland,NULL,Non_Wetland,NULL,Forest,Forest
1460,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1461,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Water
1462,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
1463,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland,Water,Forest
1464,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
1465,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
1466,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
1467,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Water,Water
1468,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
1469,Forest,Forest,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
1470,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
1471,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
1472,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Water
1473,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
1474,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Water,Grassland
1475,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Water,Water
1476,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Water,Forest
1477,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Forest,Water
1478,Forest,Forest,Bareland,NULL,Non_Wetland,Water,Forest,Forest
1479,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Wetland,Water
1480,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Wetland,Forest
1481,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Water,Water
1482,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Water,Forest
1483,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,Water
1484,Forest,Forest,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
1485,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
1486,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
1487,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Forest
1488,Forest,Forest,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
