Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LVQ_M_R
331,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
332,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
333,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
334,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
335,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
336,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
337,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
338,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
339,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
340,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
341,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
342,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
343,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
344,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
345,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
346,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
347,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Water
348,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
349,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
350,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
351,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
352,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
353,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
354,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
355,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
356,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Built-up
357,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
358,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
359,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
360,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
361,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
362,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
363,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
364,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
365,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
366,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
367,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
368,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
369,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
370,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
371,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
372,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
373,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
374,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
375,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
376,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
377,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
378,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
379,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
380,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
381,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
382,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
383,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
384,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
385,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
386,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
387,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
388,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
389,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
390,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
391,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
392,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
393,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
394,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
395,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
396,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
397,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
398,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
399,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
400,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
401,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
402,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
403,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
404,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Water
405,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
406,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
407,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
408,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
409,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
410,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
411,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
412,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
413,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
414,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
415,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
416,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
417,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
418,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
419,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
420,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
421,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
422,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
423,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
424,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Cropland
425,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
426,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
427,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
428,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
429,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
430,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
431,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
432,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Bareland
433,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
434,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
435,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
436,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
437,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
438,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
439,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
440,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
441,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
442,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
443,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
444,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
445,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
446,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Grassland
447,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
448,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
449,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
450,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
451,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Built-up
452,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
453,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,NULL
454,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
455,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
456,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Bareland
457,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Water
458,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
459,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
460,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,NULL
461,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
462,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Bareland
463,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
464,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
465,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
466,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
467,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Built-up
468,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
469,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
470,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
471,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
472,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
473,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
474,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
475,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
476,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
477,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
478,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
479,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
480,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
481,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
482,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
483,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
484,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
485,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
486,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
487,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Forest
488,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,NULL
489,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
490,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,NULL
491,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
492,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Bareland
493,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Forest
494,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,NULL
495,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
496,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Cropland
497,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Wetland
498,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Bareland
499,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Built-up
500,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Water
501,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,NULL
502,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
503,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
504,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
505,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Forest
506,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
507,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
508,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
509,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
510,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Built-up
511,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
512,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
513,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
514,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
515,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
516,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
517,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Bareland,Built-up
518,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,NULL
519,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
520,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Bareland
521,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,NULL
522,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
523,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
524,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Built-up
525,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
526,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
527,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Built-up
528,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
529,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
530,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,NULL
531,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,NULL
532,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
533,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,NULL
534,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
535,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
536,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
537,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
538,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
539,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Built-up
540,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
541,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
542,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
543,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Water
544,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
545,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,NULL
546,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
547,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Cropland
548,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
549,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,NULL
550,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
551,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Bareland
552,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,NULL
553,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Shrubland,Grassland
554,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,NULL
555,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,NULL
556,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
557,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Cropland
558,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
559,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
560,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
561,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
562,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
563,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
564,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
565,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Shrubland,NULL
566,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Shrubland,Grassland
567,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Shrubland,Bareland
568,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Shrubland,Water
569,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,NULL
570,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
571,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Cropland
572,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Bareland
573,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,NULL
574,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,Grassland
575,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland,Bareland
576,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,NULL
577,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
578,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Cropland
579,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Bareland
580,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Water
581,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,NULL
582,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,Grassland
583,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,NULL,Bareland
584,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,NULL
585,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
586,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Built-up
587,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Bareland,NULL
588,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Bareland,Grassland
589,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Bareland,Bareland
590,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,NULL
591,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Grassland
592,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Bareland
593,NULL,NULL,Shrubland,Water,Non_Wetland,Shrubland,Water,Water
594,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,NULL
595,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
596,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Grassland
597,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
598,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,NULL
599,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,NULL
600,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
601,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Bareland
602,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Built-up
603,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Water
604,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Shrubland,NULL
605,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Shrubland,Grassland
606,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Shrubland,Bareland
607,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,NULL
608,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
609,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
610,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Built-up
611,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
612,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,NULL
613,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
614,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
615,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Water
616,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,NULL
617,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
618,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,NULL
619,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Grassland
620,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Wetland
621,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Shrubland,Water
622,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,NULL
623,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
624,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
625,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
626,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
627,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Forest
628,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
629,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
630,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
631,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
632,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
633,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
634,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
635,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
636,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
637,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
638,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,NULL
639,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
640,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up,Built-up
641,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
642,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
643,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Bareland
644,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Built-up
645,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
646,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
647,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
648,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
649,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
650,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
651,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Built-up,NULL
652,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Forest
653,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Water,Forest
654,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
