Value,AFRICA_2024_DynamicWorld_2024_37NHD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NHD_M_R,AFRICA_2024_GLC_FCS30D_2022_37NHD_M_R,AFRICA_2024_GSW_Yearly_2021_37NHD_M_R,AFRICA_2024_GWL_FCS30D_2022_37NHD_M_R,AFRICA_2024_WorldCover_2021_37NHD_M_R
1307,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
1308,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
1309,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
1310,Forest,Forest,Wetland,NULL,Wetland,Forest
1311,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
1312,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
1313,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
1314,Forest,Forest,Water,NULL,Water,Forest
1315,Forest,Forest,Forest,NULL,Non_Wetland,NULL
1316,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
1317,Forest,Forest,Forest,NULL,Non_Wetland,Cropland
1318,Forest,Forest,Forest,NULL,Non_Wetland,Forest
